configuration,seed,condition,noise_type,target_snr_db,exposure,class_name,precision,recall,f1,support
noise_augmented_rr,123,bw_0db,bw,0.0,unseen_snr,V,0.27129337539432175,0.7395577395577395,0.3969666996373228,814
noise_augmented_rr,123,bw_0db,bw,0.0,unseen_snr,F,0.10526315789473684,0.06451612903225806,0.08,31
noise_augmented_rr,2026,bw_0db,bw,0.0,unseen_snr,N,0.947637676798074,0.9722136461870948,0.9597683633038707,9717
noise_augmented_rr,2026,bw_0db,bw,0.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,bw_0db,bw,0.0,unseen_snr,V,0.5303030303030303,0.515970515970516,0.523038605230386,814
noise_augmented_rr,2026,bw_0db,bw,0.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,42,bw_-6db,bw,-6.0,seen_snr,N,0.9333742080523196,0.9400020582484306,0.936676408757627,9717
clean_rr,42,bw_-6db,bw,-6.0,seen_snr,S,0.021568627450980392,0.05527638190954774,0.031029619181946404,199
clean_rr,42,bw_-6db,bw,-6.0,seen_snr,V,0.5182795698924731,0.29606879606879605,0.37685691946833466,814
clean_rr,42,bw_-6db,bw,-6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,123,bw_-6db,bw,-6.0,seen_snr,N,0.9311035449629481,0.9568796953792322,0.9438156625894534,9717
clean_rr,123,bw_-6db,bw,-6.0,seen_snr,S,0.033271719038817,0.09045226130653267,0.04864864864864865,199
clean_rr,123,bw_-6db,bw,-6.0,seen_snr,V,0.6866952789699571,0.19656019656019655,0.30563514804202485,814
clean_rr,123,bw_-6db,bw,-6.0,seen_snr,F,1.0,0.03225806451612903,0.0625,31
clean_rr,2026,bw_-6db,bw,-6.0,seen_snr,N,0.9560039695666557,0.8922506946588453,0.9230277866496327,9717
clean_rr,2026,bw_-6db,bw,-6.0,seen_snr,S,0.05128205128205128,0.010050251256281407,0.01680672268907563,199
clean_rr,2026,bw_-6db,bw,-6.0,seen_snr,V,0.3157894736842105,0.6412776412776413,0.4231860559383867,814
clean_rr,2026,bw_-6db,bw,-6.0,seen_snr,F,0.0,0.0,0.0,31
noise_augmented_rr,42,bw_-6db,bw,-6.0,seen_snr,N,0.9517474395523176,0.9276525676649171,0.9395455493016469,9717
noise_augmented_rr,42,bw_-6db,bw,-6.0,seen_snr,S,0.25,0.005025125628140704,0.009852216748768473,199
noise_augmented_rr,42,bw_-6db,bw,-6.0,seen_snr,V,0.36879432624113473,0.5749385749385749,0.44935189630340855,814
noise_augmented_rr,42,bw_-6db,bw,-6.0,seen_snr,F,0.0,0.0,0.0,31
noise_augmented_rr,123,bw_-6db,bw,-6.0,seen_snr,N,0.9585023762605772,0.8509828136256046,0.9015481901439163,9717
noise_augmented_rr,123,bw_-6db,bw,-6.0,seen_snr,S,0.02702702702702703,0.010050251256281407,0.014652014652014652,199
noise_augmented_rr,123,bw_-6db,bw,-6.0,seen_snr,V,0.25501713166911405,0.64004914004914,0.3647182359117956,814
