condition,noise_type,target_snr_db,exposure,class_name,clean_trained_f1,noise_augmented_f1,f1_difference,noise_augmented_precision,noise_augmented_recall,support
ma_0db,ma,0.0,unseen_snr,V,0.2719033232628399,0.42778119237861095,0.15587786911577106,0.4280442804428044,0.4275184275184275,814
ma_0db,ma,0.0,unseen_snr,F,0.0,0.014184397163120567,0.014184397163120567,0.00909090909090909,0.03225806451612903,31
ma_-6db,ma,-6.0,seen_snr,N,0.9104665825977302,0.9499772853465247,0.039510702748794535,0.9322369724588865,0.9684058865905115,9717
ma_-6db,ma,-6.0,seen_snr,S,0.0688775510204081,0.0449438202247191,-0.023933730795689,0.08823529411764706,0.03015075376884422,199
ma_-6db,ma,-6.0,seen_snr,V,0.1301907968574635,0.3597014925373134,0.22951069567984994,0.45817490494296575,0.29606879606879605,814
ma_-6db,ma,-6.0,seen_snr,F,0.0,0.019230769230769232,0.019230769230769232,0.0136986301369863,0.03225806451612903,31
em_18db,em,18.0,seen_snr,N,0.9349282296650716,0.913158892681077,-0.021769336983994636,0.9640814458933883,0.8673458886487599,9717
em_18db,em,18.0,seen_snr,S,0.0519480519480519,0.0,-0.0519480519480519,0.0,0.0,199
em_18db,em,18.0,seen_snr,V,0.5476951163852122,0.4415964848041011,-0.1060986315811111,0.3145539906103286,0.7407862407862408,814
em_18db,em,18.0,seen_snr,F,0.0147058823529411,0.03125,0.0165441176470589,0.020618556701030927,0.06451612903225806,31
em_12db,em,12.0,unseen_snr,N,0.9117885958737209,0.9153858598932212,0.0035972640195003347,0.9615907545887151,0.8734177215189873,9717
em_12db,em,12.0,unseen_snr,S,0.0337941628264208,0.0,-0.0337941628264208,0.0,0.0,199
em_12db,em,12.0,unseen_snr,V,0.4844774814167031,0.4398782343987823,-0.044599247017920784,0.31863285556780596,0.7100737100737101,814
em_12db,em,12.0,unseen_snr,F,0.017094017094017,0.02877697841726619,0.01168296132324919,0.018518518518518517,0.06451612903225806,31
em_6db,em,6.0,seen_snr,N,0.8794697560432215,0.9163683001122215,0.03689854406899995,0.9530902623388172,0.8823711021920346,9717
em_6db,em,6.0,seen_snr,S,0.0465477114041892,0.0,-0.0465477114041892,0.0,0.0,199
em_6db,em,6.0,seen_snr,V,0.3935018050541516,0.4176372712146423,0.02413546616049067,0.31572327044025156,0.6167076167076168,814
em_6db,em,6.0,seen_snr,F,0.0,0.013157894736842105,0.013157894736842105,0.008264462809917356,0.03225806451612903,31
em_0db,em,0.0,unseen_snr,N,0.8263256248540061,0.9191722394818598,0.09284661462785371,0.9411257278412767,0.8982196151075434,9717
em_0db,em,0.0,unseen_snr,S,0.0516236469608659,0.01384083044982699,-0.037782816511038916,0.022222222222222223,0.010050251256281407,199
em_0db,em,0.0,unseen_snr,V,0.2922606924643584,0.369980879541109,0.0777201870767506,0.3028169014084507,0.47542997542997545,814
em_0db,em,0.0,unseen_snr,F,0.0,0.0,0.0,0.0,0.0,31
em_-6db,em,-6.0,seen_snr,N,0.7550792864222002,0.9300983876783598,0.1750191012561596,0.9311056105610561,0.9290933415663271,9717
em_-6db,em,-6.0,seen_snr,S,0.0481663929939792,0.007407407407407408,-0.04075898558657179,0.014084507042253521,0.005025125628140704,199
em_-6db,em,-6.0,seen_snr,V,0.200593471810089,0.34114888628370454,0.14055541447361555,0.32623318385650224,0.3574938574938575,814
em_-6db,em,-6.0,seen_snr,F,0.0,0.0,0.0,0.0,0.0,31
