noise_type,target_snr_db,method,class_name,precision,recall,f1,support,f1_recovery_vs_none
em,6.0,none,N,0.9584800291368216,0.8124935679736545,0.8794697560432215,9717,0.0
em,6.0,none,S,0.027522935779816515,0.1507537688442211,0.04654771140418929,199,0.0
em,6.0,none,V,0.31098430813124106,0.5356265356265356,0.3935018050541516,814,0.0
em,6.0,none,F,0.0,0.0,0.0,31,0.0
em,6.0,bandpass,N,0.9902992776057792,0.49377379849747866,0.6589754154649087,9717,-0.22049434057831285
em,6.0,bandpass,S,0.022156573116691284,0.07537688442211055,0.03424657534246575,199,-0.01230113606172354
em,6.0,bandpass,V,0.19199029126213593,0.9717444717444718,0.3206323469801378,814,-0.0728694580740138
em,6.0,bandpass,F,0.0071492403932082215,0.25806451612903225,0.01391304347826087,31,0.01391304347826087
em,6.0,wavelet,N,0.988791032826261,0.5083873623546362,0.6715149867464147,9717,-0.20795476929680679
em,6.0,wavelet,S,0.00865051903114187,0.02512562814070352,0.01287001287001287,199,-0.033677698534176424
em,6.0,wavelet,V,0.19858692909412062,0.9668304668304668,0.3294954992673226,814,-0.06400630578682903
em,6.0,wavelet,F,0.004901960784313725,0.1935483870967742,0.009561752988047808,31,0.009561752988047808
em,0.0,none,N,0.955177534764412,0.7281053823196459,0.8263256248540061,9717,0.0
em,0.0,none,S,0.02814344076259646,0.31155778894472363,0.051623646960865945,199,0.0
em,0.0,none,V,0.24956521739130436,0.3525798525798526,0.29226069246435843,814,0.0
em,0.0,none,F,0.0,0.0,0.0,31,0.0
em,0.0,bandpass,N,0.9875518672199171,0.41638365750746115,0.5857825394527291,9717,-0.240543085401277
em,0.0,bandpass,S,0.023900054318305268,0.22110552763819097,0.043137254901960784,199,-0.00848639205890516
em,0.0,bandpass,V,0.17840258770838516,0.8808353808353808,0.29671011793916824,814,0.004449425474809809
em,0.0,bandpass,F,0.004975124378109453,0.12903225806451613,0.009580838323353293,31,0.009580838323353293
em,0.0,wavelet,N,0.9856284856284856,0.4728825769270351,0.6391265039293414,9717,-0.18719912092466462
em,0.0,wavelet,S,0.016733067729083666,0.10552763819095477,0.02888583218707015,199,-0.022737814773795793
em,0.0,wavelet,V,0.17688393506178823,0.8968058968058968,0.29548674357417526,814,0.00322605110981683
em,0.0,wavelet,F,0.0041841004184100415,0.0967741935483871,0.008021390374331552,31,0.008021390374331552
em,-6.0,none,N,0.9483429282713552,0.627251209220953,0.7550792864222002,9717,0.0
em,-6.0,none,S,0.025470332850940667,0.44221105527638194,0.0481663929939792,199,0.0
em,-6.0,none,V,0.19402985074626866,0.2076167076167076,0.20059347181008902,814,0.0
em,-6.0,none,F,0.0,0.0,0.0,31,0.0
em,-6.0,bandpass,N,0.9791833466773419,0.25172378306061544,0.40049119934506755,9717,-0.3545880870771327
em,-6.0,bandpass,S,0.017771883289124667,0.33668341708542715,0.033761652809271854,199,-0.014404740184707346
em,-6.0,bandpass,V,0.1406853281853282,0.7162162162162162,0.23517547398144414,814,0.034582002171355125
em,-6.0,bandpass,F,0.0057306590257879654,0.06451612903225806,0.010526315789473684,31,0.010526315789473684
em,-6.0,wavelet,N,0.9782023681377826,0.3740866522589277,0.5412044963894885,9717,-0.2138747900327117
em,-6.0,wavelet,S,0.021767522855899,0.25125628140703515,0.04006410256410257,199,-0.008102290429876632
em,-6.0,wavelet,V,0.13693495038588754,0.7628992628992629,0.232192933258553,814,0.031599461448463984
em,-6.0,wavelet,F,0.009389671361502348,0.06451612903225806,0.01639344262295082,31,0.01639344262295082
