condition,noise_type,target_snr_db,exposure,class_name,clean_f1_mean,clean_f1_std,noise_aug_f1_mean,noise_aug_f1_std,paired_difference_mean,paired_difference_std,noise_aug_better_seeds,total_seeds
ma_18db,ma,18.0,seen_snr,S,0.03606503164507731,0.024594169112030592,0.0029368575624082235,0.005086786512683928,-0.03312817408266909,0.02390772340484656,0,3
ma_18db,ma,18.0,seen_snr,V,0.526042646067832,0.06607624183951553,0.48115496486567216,0.08551577092232285,-0.04488768120215986,0.12888317135239916,1,3
ma_18db,ma,18.0,seen_snr,F,0.01650776836158192,0.016966385351328744,0.05038300560688621,0.061844731442545056,0.033875237245304286,0.0781775559276116,2,3
ma_12db,ma,12.0,unseen_snr,N,0.9423039306231732,0.023334302299131898,0.9290172255869558,0.032963705492294736,-0.013286705036217464,0.05605915637633994,1,3
ma_12db,ma,12.0,unseen_snr,S,0.0559316364055683,0.021489532042672753,0.005673758865248227,0.009827238624504268,-0.05025787754032007,0.01834451731645432,0,3
ma_12db,ma,12.0,unseen_snr,V,0.49549463241519526,0.05068476037187051,0.469057298788271,0.07542611955039404,-0.02643733362692426,0.09150468405539142,1,3
ma_12db,ma,12.0,unseen_snr,F,0.019381337440636633,0.018888868533116325,0.04287205945580738,0.050653909940421765,0.023490722015170756,0.0693264927465385,2,3
ma_6db,ma,6.0,seen_snr,N,0.9419208330485445,0.013237815419514111,0.9319572349394104,0.030898506487001084,-0.009963598109133867,0.043644183178132116,2,3
ma_6db,ma,6.0,seen_snr,S,0.04177904615589789,0.013156840115348798,0.0048484848484848485,0.008397822097303647,-0.03693056130741305,0.014795607706958072,0,3
ma_6db,ma,6.0,seen_snr,V,0.43195567220764075,0.04072521784565983,0.436906373256612,0.06094778649322765,0.004950701048971255,0.03561479930916714,1,3
ma_6db,ma,6.0,seen_snr,F,0.01075268817204301,0.01862420223192341,0.033566433566433566,0.036684970765325876,0.022813745394390555,0.02072185109183765,2,3
ma_0db,ma,0.0,unseen_snr,N,0.9393897795599081,0.01384713108170842,0.9380220651708582,0.02594125069287543,-0.0013677143890497752,0.03403654554684068,2,3
ma_0db,ma,0.0,unseen_snr,S,0.05989469699057634,0.015978513104574654,0.013061828307879738,0.015835768113955626,-0.0468328686826966,0.006964571020808864,0,3
ma_0db,ma,0.0,unseen_snr,V,0.3220181484330393,0.06596034847644036,0.4122507631309462,0.04232602104165043,0.09023261469790693,0.05764503962746098,3,3
ma_0db,ma,0.0,unseen_snr,F,0.0,0.0,0.013987391646966114,0.013889936751042017,0.013987391646966114,0.013889936751042017,2,3
ma_-6db,ma,-6.0,seen_snr,N,0.9300458080920531,0.017054752031940137,0.9442339147203272,0.015504479391239157,0.014188106628274263,0.025419155039367824,2,3
ma_-6db,ma,-6.0,seen_snr,S,0.06281539445665124,0.010205450647217855,0.03947821129100435,0.0370490159577052,-0.023337183165646886,0.045499849285680946,1,3
ma_-6db,ma,-6.0,seen_snr,V,0.18738191626465958,0.06388225218127547,0.35796175355699505,0.01677168822829622,0.17057983729233553,0.07654643958764286,3,3
ma_-6db,ma,-6.0,seen_snr,F,0.0,0.0,0.011348528015194682,0.010073081923358448,0.011348528015194682,0.010073081923358448,2,3
em_18db,em,18.0,seen_snr,N,0.9352925399338896,0.029228130504575872,0.92295119000602,0.03190920956255924,-0.012341349927869616,0.06054120937829831,1,3
em_18db,em,18.0,seen_snr,S,0.04611100949129118,0.024931004264452685,0.0029112081513828236,0.005042360429603718,-0.043199801339908354,0.02143022155313183,0,3
em_18db,em,18.0,seen_snr,V,0.5187282842138417,0.035874013628050386,0.47057756140517576,0.07313388747021396,-0.048150722808665926,0.10685456258070439,1,3
em_18db,em,18.0,seen_snr,F,0.014291632145816073,0.014089075237533031,0.044314971751412434,0.05209111308362042,0.030023339605596357,0.06597292705557511,2,3
em_12db,em,12.0,unseen_snr,N,0.925081435239672,0.028601497762490186,0.9218151934152491,0.027868854224317313,-0.003266241824422996,0.05381867522457346,2,3
em_12db,em,12.0,unseen_snr,S,0.047708572200806376,0.030151427579069523,0.0,0.0,-0.047708572200806376,0.030151427579069523,0,3
em_12db,em,12.0,unseen_snr,V,0.4863873560857137,0.015619092722757605,0.45345318866092077,0.052885158878972945,-0.03293416742479294,0.06784946753651593,1,3
em_12db,em,12.0,unseen_snr,F,0.014707014707014708,0.013670712592128424,0.039895356442119036,0.04646320533397354,0.025188341735104324,0.060116790113180295,2,3
em_6db,em,6.0,seen_snr,N,0.9045732098747815,0.026835333618385818,0.9211289714008926,0.023350312280853908,0.016555761526111157,0.042535422871993016,2,3
em_6db,em,6.0,seen_snr,S,0.047228638840472494,0.03348978774976615,0.0024509803921568627,0.004245222567570778,-0.04477765844831563,0.02984751459218458,0,3
em_6db,em,6.0,seen_snr,V,0.4215899127298572,0.025275677661224728,0.4210436820520382,0.027850322924420075,-0.000546230677819004,0.02984367821159834,2,3
em_6db,em,6.0,seen_snr,F,0.016260162601626018,0.028163427765347596,0.020450221940393153,0.02491022527456493,0.004190059338767135,0.007771930682341783,1,3
em_0db,em,0.0,unseen_snr,N,0.86153817172206,0.03086833795092922,0.9231787635986178,0.020212074706921667,0.06164059187655783,0.030969984145860014,3,3
em_0db,em,0.0,unseen_snr,S,0.053419842803211,0.013211336624739299,0.018989171695315197,0.02201946400598351,-0.034430671107895806,0.008929006935356441,0,3
em_0db,em,0.0,unseen_snr,V,0.3235527804144019,0.03697882497477839,0.3726864786226533,0.018460428458034844,0.049133698208251364,0.025686588828222615,3,3
em_0db,em,0.0,unseen_snr,F,0.0,0.0,0.0058997050147492625,0.010218588835214615,0.0058997050147492625,0.010218588835214615,1,3
em_-6db,em,-6.0,seen_snr,N,0.7936047026488161,0.03947257366204965,0.9314083559493596,0.014483217063745663,0.1378036533005436,0.03290935971261615,3,3
em_-6db,em,-6.0,seen_snr,S,0.0473024124495523,0.009039526631913593,0.020869701973735943,0.02996217466982459,-0.026432710475816357,0.022351886197365233,0,3
em_-6db,em,-6.0,seen_snr,V,0.21619982939646065,0.020831294356619817,0.32936504577052944,0.010362911493784738,0.11316521637406877,0.027569374919468446,3,3
em_-6db,em,-6.0,seen_snr,F,0.0,0.0,0.0,0.0,0.0,0.0,0,3
